City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kargasok,RU,2022-06-30 20:19:42,59.0556,80.8572,49.69,97,100,9.66
1,Ariquemes,BR,2022-06-30 20:19:42,-9.9133,-63.0408,90.28,32,0,1.81
2,Port Elizabeth,ZA,2022-06-30 20:13:47,-33.918,25.5701,58.32,57,0,1.99
3,Rikitea,PF,2022-06-30 20:13:47,-23.1203,-134.9692,68.22,89,100,9.44
4,Mataura,NZ,2022-06-30 20:15:16,-46.1927,168.8643,40.48,88,98,8.75
5,Busselton,AU,2022-06-30 20:13:51,-33.65,115.3333,47.98,86,0,5.59
6,Bluff,NZ,2022-06-30 20:15:20,-46.6,168.3333,40.8,70,100,27.6
7,Kiama,AU,2022-06-30 20:19:44,-34.6833,150.8667,53.38,87,100,1.99
8,Coahuayana,MX,2022-06-30 20:11:09,18.7333,-103.6833,91.11,52,99,7.67
9,Ushuaia,AR,2022-06-30 20:10:05,-54.8,-68.3,33.42,74,0,5.75
10,Hoa Binh,VN,2022-06-30 20:19:44,20.8133,105.3383,78.66,94,99,1.19
11,Ginir,ET,2022-06-30 20:19:45,7.1333,40.7,58.21,70,100,13.18
12,Georgetown,MY,2022-06-30 20:19:28,5.4112,100.3354,80.89,92,20,2.3
13,Akyab,MM,2022-06-30 20:19:45,20.15,92.9,81.72,83,100,5.79
14,Iqaluit,CA,2022-06-30 20:19:46,63.7506,-68.5145,49.73,76,100,5.75
15,Ribeira Grande,PT,2022-06-30 20:15:20,38.5167,-28.7,72.0,83,40,5.75
16,Amapa,BR,2022-06-30 20:19:47,1.0,-52.0,78.26,91,93,3.56
17,Varadero,CU,2022-06-30 20:19:47,23.1536,-81.2514,84.96,73,33,15.61
18,Punta Arenas,CL,2022-06-30 20:15:04,-53.15,-70.9167,39.11,81,0,8.05
19,Vaini,TO,2022-06-30 20:13:59,-21.2,-175.2,75.36,88,75,6.91
20,Zhmerynka,UA,2022-06-30 20:19:48,49.037,28.112,69.57,70,37,7.63
21,Faanui,PF,2022-06-30 20:19:48,-16.4833,-151.75,79.9,72,40,20.56
22,Bambanglipuro,ID,2022-06-30 20:19:49,-7.95,110.2833,73.58,90,50,5.57
23,Sembabule,UG,2022-06-30 20:19:50,-0.0772,31.4567,62.2,80,5,3.89
24,Soroti,UG,2022-06-30 20:19:50,1.7146,33.6111,68.41,72,87,5.12
25,Manzanillo,CU,2022-06-30 20:19:51,20.3433,-77.1167,89.71,56,84,7.76
26,Madinat Sittah Uktubar,EG,2022-06-30 20:19:51,29.8167,31.05,82.0,48,0,15.82
27,Aksarka,RU,2022-06-30 20:19:52,66.5606,67.7975,46.56,79,100,10.04
28,Bredasdorp,ZA,2022-06-30 20:16:30,-34.5322,20.0403,57.16,47,0,4.43
29,Castro,BR,2022-06-30 20:13:46,-24.7911,-50.0119,58.71,60,0,2.68
30,Esperance,AU,2022-06-30 20:19:53,-33.8667,121.9,49.68,82,0,8.28
31,Gudari,IN,2022-06-30 20:19:53,19.35,83.7833,81.19,85,100,0.72
32,Guerrero Negro,MX,2022-06-30 20:07:08,27.9769,-114.0611,79.79,49,0,18.68
33,Kapaa,US,2022-06-30 20:13:55,22.0752,-159.319,82.72,75,100,16.11
34,Albany,US,2022-06-30 20:13:46,42.6001,-73.9662,84.4,42,29,6.82
35,Severo-Kurilsk,RU,2022-06-30 20:19:54,50.6789,156.125,53.04,76,10,14.99
36,Sembe,CG,2022-06-30 20:19:55,1.6481,14.5806,74.75,80,97,2.39
37,The Valley,AI,2022-06-30 20:19:55,18.217,-63.0578,87.66,70,40,18.41
38,Cape Town,ZA,2022-06-30 20:09:48,-33.9258,18.4232,68.38,41,0,4.0
39,Port Hardy,CA,2022-06-30 20:19:56,50.6996,-127.4199,62.6,77,75,4.61
40,Port Lincoln,AU,2022-06-30 20:19:56,-34.7333,135.8667,55.17,73,77,8.7
41,Kaka,TM,2022-06-30 20:19:57,37.3482,59.6143,88.47,30,0,8.25
42,Mumbwa,ZM,2022-06-30 20:19:14,-14.9783,27.0619,59.09,69,100,9.4
43,Longyearbyen,SJ,2022-06-30 20:20:57,78.2186,15.6401,48.04,76,75,13.8
44,Vila Franca Do Campo,PT,2022-06-30 20:15:24,37.7167,-25.4333,68.41,79,38,4.27
45,Shelburne,CA,2022-06-30 20:20:58,44.0787,-80.2041,84.65,68,99,13.96
46,Turki,RU,2022-06-30 20:20:59,51.987,43.2731,57.38,74,24,5.86
47,Tuktoyaktuk,CA,2022-06-30 20:15:04,69.4541,-133.0374,59.0,77,100,5.75
48,Goiania,BR,2022-06-30 20:17:54,-16.6786,-49.2539,83.89,28,0,3.44
49,San Patricio,US,2022-06-30 20:20:59,28.017,-97.5169,95.16,51,85,15.3
