City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ahuimanu,US,21.4447,-157.8378,87.51,61,40,17.27,scattered clouds
80,Atambua,ID,-9.1061,124.8925,74.71,85,73,6.89,broken clouds
81,San Patricio,US,28.017,-97.5169,91.54,63,30,20.94,scattered clouds
82,Sao Filipe,CV,14.8961,-24.4956,73.96,77,32,13.18,scattered clouds
83,Tasiilaq,GL,65.6145,-37.6368,36.84,86,43,7.54,scattered clouds
84,Shingu,JP,33.7333,135.9833,76.37,93,100,2.75,heavy intensity rain
85,Kaitangata,NZ,-46.2817,169.8464,51.55,66,19,9.17,few clouds
86,Flinders,AU,-34.5833,150.8552,60.06,89,100,7.0,light rain
87,Mandali,IQ,33.7499,45.5541,86.59,23,0,5.93,clear sky
88,Vanatori,RO,45.7333,27.25,68.34,66,70,5.75,broken clouds
89,Sibolga,ID,1.7427,98.7792,74.97,87,98,3.91,overcast clouds
90,Mataura,NZ,-46.1927,168.8643,50.49,83,52,5.77,broken clouds
91,Briancon,FR,44.9,6.65,64.51,52,2,2.35,clear sky
92,Tilichiki,RU,60.4667,166.1,54.0,61,98,3.22,light rain
93,Coahuayana,MX,18.7333,-103.6833,83.97,75,75,5.17,broken clouds
94,Lagoa,PT,39.05,-27.9833,65.17,86,86,11.52,overcast clouds
95,Carauari,BR,-4.8828,-66.8958,79.93,69,96,2.86,overcast clouds
96,Torbay,CA,47.6666,-52.7314,63.28,74,80,12.64,broken clouds
97,Upernavik,GL,72.7868,-56.1549,40.01,84,60,3.78,broken clouds
98,Rocha,UY,-34.4833,-54.3333,41.07,94,0,5.41,clear sky
99,Katsuura,JP,35.1333,140.3,78.1,89,86,10.76,light rain
100,Rio Grande,BR,-32.035,-52.0986,55.51,85,89,9.46,overcast clouds
101,Poquoson,US,37.1224,-76.3458,86.02,67,0,17.27,clear sky
102,Darhan,MN,49.4867,105.9228,67.71,82,100,4.83,overcast clouds
103,Tual,ID,-5.6667,132.75,80.62,85,100,22.21,moderate rain
104,Biak,ID,-0.9131,122.8766,80.47,74,74,4.21,broken clouds
105,Provideniya,RU,64.3833,-173.3,51.82,68,96,6.4,overcast clouds
106,Zhuhai,CN,22.2769,113.5678,83.98,89,40,24.16,scattered clouds
107,Prince Rupert,CA,54.3161,-130.3201,67.69,81,0,13.8,clear sky
108,Nikolskoye,RU,59.7035,30.7861,69.69,69,100,3.98,overcast clouds
109,Andros Town,BS,24.7,-77.7667,84.16,70,86,13.98,overcast clouds
110,Kisarawe,TZ,-6.9,39.0667,63.27,96,12,5.06,few clouds
111,Marrakesh,MA,31.6315,-8.0083,71.67,64,0,6.91,clear sky
112,Qaqortoq,GL,60.7167,-46.0333,47.88,68,74,1.77,broken clouds
113,Saint-Joseph,RE,-21.3667,55.6167,66.58,75,51,13.62,broken clouds
114,Paka,MY,4.6374,103.4368,78.73,83,40,2.3,scattered clouds
115,Vaini,TO,-21.2,-175.2,75.36,78,75,8.05,broken clouds
116,Port Augusta,AU,-32.5,137.7667,49.33,62,0,11.45,clear sky
117,Codo,BR,-4.4553,-43.8856,74.97,91,71,1.07,broken clouds
118,San Jose,US,37.3394,-121.895,75.92,54,20,16.11,smoke
119,Mercedes,AR,-34.6515,-59.4307,46.04,49,13,3.96,few clouds
120,Kaeo,NZ,-35.1,173.7833,61.32,82,24,2.66,few clouds
121,Kamenka,RU,51.3223,42.7678,52.59,90,10,10.38,clear sky
122,Chokurdakh,RU,70.6333,147.9167,63.84,36,21,7.9,few clouds
123,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,83,11.56,broken clouds
124,Mayo,US,38.8876,-76.5119,87.75,74,0,5.75,clear sky
125,Atar,MR,20.5169,-13.0499,93.88,17,45,7.74,scattered clouds
126,Grevesmuhlen,DE,53.8667,11.1833,61.29,85,32,10.58,scattered clouds
127,Sampang,ID,-7.1872,113.2394,79.88,86,48,8.01,scattered clouds
128,Kedrovyy,RU,56.1667,91.8167,57.87,77,34,8.12,scattered clouds
129,Jejuri,IN,18.2833,74.1667,72.28,86,97,6.78,overcast clouds
130,Aykhal,RU,66.0,111.5,71.01,53,99,5.84,overcast clouds
131,Barra Do Garcas,BR,-15.89,-52.2567,73.31,38,14,2.06,few clouds
132,San Martin,AR,-33.081,-68.4681,48.74,34,0,7.11,clear sky
133,Northam,GB,51.0333,-4.2167,56.25,95,24,6.53,few clouds
134,Souillac,MU,-20.5167,57.5167,70.18,64,40,14.97,light rain
135,Port Hardy,CA,50.6996,-127.4199,64.58,72,40,11.5,scattered clouds
136,Zaykovo,RU,57.5613,62.7568,58.82,76,100,4.88,overcast clouds
137,Kodiak,US,57.79,-152.4072,54.91,88,100,13.8,mist
138,Kargopol,RU,61.5071,38.9456,54.36,96,10,2.53,clear sky
139,Mehamn,NO,71.0357,27.8492,73.35,60,4,14.97,clear sky
