City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Road Town,VG,82.44,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
166,Makakilo City,US,86.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
167,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
169,Yilan,TW,84.06,overcast clouds,24.757,121.753,Dar Chen Hotel
174,Gurupa,BR,75.9,broken clouds,-1.405,-51.64,Hotel Vitória
175,Aksu,CN,77.65,few clouds,41.1231,80.2644,Pudong Holiday Hotel
176,Kuala Lipis,MY,76.15,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
177,Sinnamary,GF,77.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
178,Poya,NC,79.9,overcast clouds,-21.35,165.15,
180,Jinchang,CN,75.0,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
183,Kudahuvadhoo,MV,82.08,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
187,Sur,OM,88.39,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
189,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
191,Madinat Sittah Uktubar,EG,80.2,clear sky,29.8167,31.05,Happy Kennel Academy
194,Gasa,PS,75.69,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
198,Port Moresby,PG,81.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
199,Riyadh,SA,89.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
201,Laiyang,CN,79.07,overcast clouds,36.9758,120.7136,莱阳恒银宾馆
205,Aracaju,BR,78.75,broken clouds,-10.9111,-37.0717,HOTEL FÊNIX
206,Miami Beach,US,86.02,scattered clouds,25.7906,-80.1301,Fontainebleau Miami Beach
207,Hamilton,US,85.44,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
216,Honiara,SB,87.3,few clouds,-9.4333,159.95,Heritage Park Hotel
219,Batagay-Alyta,RU,70.54,overcast clouds,67.8006,130.4114,
221,Messina,IT,82.6,few clouds,38.1933,15.5497,Hotel Touring
223,Tabuk,PH,79.38,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
226,Tancheng,CN,78.69,overcast clouds,27.4375,115.4976,
227,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
228,Sinnai,IT,76.48,clear sky,39.3042,9.2036,La Rosa Dei Venti Sardinya
232,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
234,Shintomi,JP,79.92,moderate rain,32.0785,131.4723,ホテルスイート
235,Fredericksburg,US,88.61,scattered clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
236,Miranda,CO,77.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
239,Bambey,SN,80.65,broken clouds,14.6955,-16.4493,Dolicile Mouhamadou Kabir SALL
240,Mount Pleasant,US,86.18,clear sky,32.7941,-79.8626,Best Western Patriots Point
244,Breves,BR,77.04,broken clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
245,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
246,Yantai,CN,76.3,overcast clouds,37.5333,121.4,Yantai Seaside International Youth Hostel
248,Kavaratti,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
250,Nabire,ID,76.19,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
255,Vanimo,PG,82.8,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
256,Manavalakurichi,IN,78.8,overcast clouds,8.1333,77.3,Jebinrio home
257,Bandarbeyla,SO,78.39,overcast clouds,9.4942,50.8122,JABIR HOTEL
258,Alta Floresta,BR,80.74,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
259,Point Pedro,LK,82.0,heavy intensity rain,9.8167,80.2333,Gtr homes
260,Ratnagiri,IN,80.19,overcast clouds,16.9833,73.3,Hotel Landmark
263,Pedasi,PA,77.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
265,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
266,Meulaboh,ID,74.53,overcast clouds,4.1363,96.1285,Kost Pria
267,Canavieiras,BR,71.42,few clouds,-15.675,-38.9472,Bahiadomizil
269,Roma,US,72.09,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
270,Norman Wells,CA,80.64,clear sky,65.282,-126.8329,Heritage Hotel
271,Mejorada Del Campo,ES,84.25,clear sky,40.3928,-3.4819,Mirador
272,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
273,Miracema Do Tocantins,BR,82.47,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
274,Hithadhoo,MV,83.64,overcast clouds,-0.6,73.0833,Scoop Guest House
275,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
276,Bethel,US,80.85,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
281,Caravelas,BR,70.5,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
282,Fort Nelson,CA,76.59,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
283,Felipe Carrillo Puerto,MX,83.75,broken clouds,19.5833,-88.05,Hotel La Ceiba
285,Tongren,CN,76.84,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
286,Leninskoye,KZ,74.12,clear sky,41.7589,69.3864,Қалдыбайдың үйі 🏘️
287,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
290,Alappuzha,IN,77.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
293,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
294,Vao,NC,73.06,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
295,Tamiahua,MX,84.6,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
298,Merauke,ID,79.92,overcast clouds,-8.4667,140.3333,
299,Jiwani,PK,83.98,overcast clouds,25.05,61.7417,Hamza hotel jiwani
302,Imeni Poliny Osipenko,RU,76.06,overcast clouds,52.4201,136.4853,Yubileynaya
304,Bonfim,BR,77.36,broken clouds,3.0833,-59.95,
305,Katobu,ID,79.43,scattered clouds,-4.9408,122.5276,La Ode Husein
306,Tezu,IN,78.82,broken clouds,27.9167,96.1667,Circuit House
307,Arman,RU,70.02,scattered clouds,59.7,150.1667,
308,Taksimo,RU,75.22,few clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
310,Saint Anthony,US,79.86,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
311,Oak Lawn,US,83.1,broken clouds,41.7109,-87.7581,Hilton Chicago/Oak Lawn
312,Marabba,SD,84.49,overcast clouds,12.35,32.1833,
316,Seminole,US,81.27,overcast clouds,28.7086,-81.2081,The Oviedo Lodge Motel
317,Yamada,JP,83.86,few clouds,39.4667,141.95,Iroha-ya Inn
318,Santa Marinella,IT,73.31,broken clouds,42.0345,11.8536,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
319,Nishihara,JP,78.08,overcast clouds,26.1842,127.7558,Minshuku Agaihama
320,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
321,Portland,US,76.44,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
322,Waqqas,JO,76.96,clear sky,32.5427,35.6053,Jordan EcoPark
325,Bull Savanna,JM,78.24,overcast clouds,17.8868,-77.5902,Big Red's
326,Singaraja,ID,80.91,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
329,Port Blair,IN,82.87,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
330,Santa Cruz Cabralia,BR,73.63,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
332,Pathein,MM,77.85,overcast clouds,16.7833,94.7333,Pathein Hotel
333,Nea Apollonia,GR,81.52,few clouds,40.6333,23.45,Hotel Voutsas
335,Turkistan,KZ,75.94,clear sky,43.0,68.0,
336,Nehe,CN,78.13,few clouds,48.4833,124.8333,Vladimir Homestay
337,Teknaf,BD,79.23,overcast clouds,20.8624,92.3058,Forestry Guesthouse
342,Susanville,US,80.91,clear sky,40.4163,-120.653,Comfort Inn & Suites
343,Guanica,PR,80.04,light rain,17.9716,-66.908,Copamarina Beach Resort & Spa
344,Veraval,IN,82.29,overcast clouds,20.9,70.3667,Lords Inn Somnath
345,Boca Do Acre,BR,78.57,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
346,Touros,BR,75.6,light rain,-5.1989,-35.4608,INN NEW HORIZON
348,Umm Kaddadah,SD,86.49,broken clouds,13.6017,26.6876,
349,Qitaihe,CN,74.79,overcast clouds,45.8,130.85,Baiyun Hostel
350,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
351,Muli,MV,81.07,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
352,Weinan,CN,78.98,clear sky,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
354,Saiha,IN,71.82,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
356,San Quintin,MX,72.43,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
358,Sainte-Rose,GP,77.04,clear sky,16.3324,-61.6979,Habitation du Comté - Hotel à Sainte-Rose
360,Maningrida,AU,71.65,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
361,West Fargo,US,78.85,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
362,Kalaleh,IR,71.17,clear sky,37.3807,55.4916,کلاله
363,Barahona,DO,85.82,scattered clouds,18.2085,-71.1008,Hotel Caribe
364,Anloga,GH,77.94,overcast clouds,5.7947,0.8973,Pin Drop Hotel
365,Victoria,HK,84.33,moderate rain,22.2855,114.1577,Mini Central
369,Wajima,JP,81.28,clear sky,37.4,136.9,Wajiima Onsen Yashio
370,Dingle,PH,82.2,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
371,Ugoofaaru,MV,78.73,moderate rain,5.6667,73.0,Ungoofaaru Inn
374,Calabozo,VE,76.32,overcast clouds,8.9242,-67.4293,Hotel Giardini
376,Ashland,US,75.81,broken clouds,40.8167,-82.2665,SureStay
378,Asau,RO,70.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
380,Samarai,PG,81.9,few clouds,-10.6167,150.6667,Nuli Sapi
383,Adre,TD,79.65,overcast clouds,13.4667,22.2,
384,Heishan,CN,73.24,overcast clouds,41.6892,122.1128,Heishan Hotel
386,Tadine,NC,76.75,overcast clouds,-21.55,167.8833,
388,Aquiraz,BR,81.18,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
389,Panzhihua,CN,71.65,broken clouds,26.5851,101.7128,Electric Power Hotel
391,Bucerias,MX,84.97,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
395,Conakry,GN,82.47,light rain,9.538,-13.6773,Riviera Royal Hotel
396,Sao Jose Da Coroa Grande,BR,77.14,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
400,Am Timan,TD,71.17,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
403,Porto Novo,BJ,78.62,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
404,Santa Maria Da Vitoria,BR,73.13,clear sky,-13.3947,-44.1886,Pousada Rio Current
406,Manthani,IN,78.44,heavy intensity rain,18.65,79.6667,"Sri Sai bike Paint,manthani"
408,Soc Trang,VN,79.93,light rain,9.6033,105.98,Phu Quy Hotel
409,Dwarka,IN,83.53,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
412,Korla,CN,77.27,overcast clouds,41.7597,86.1469,Gulisitan Hotel
413,Alexandria,EG,77.54,scattered clouds,31.2156,29.9553,Royal Crown Hotel
415,Tura,IN,75.11,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
416,Half Moon Bay,US,73.42,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
419,Trinidad,BO,80.58,smoke,-14.8333,-64.9,Hotel Piesta
